# DHSexact
#a=  0.100 MgFeSiO4      rho= 2.14
#  lambda Qabs Qsca  max.vol.frac=  0.700
  0.10000000000000001        2.0281613882719376        2.7641171399361566     
  0.20000000000000001        1.8323404523651374        2.3039952755568280     
  0.22000000000000000        1.8651175369520112        2.0452201687068294     
  0.23999999999999999        1.8493057191307416        1.9730549040824261     
  0.26000000000000001        1.8142967162114583        1.9246366278902070     
  0.28000000000000003        1.7504457116893237        1.8544485190817881     
  0.29999999999999999        1.6492140390722878        1.7777960559680317     
  0.32000000000000001        1.5267882795909562        1.7098482658387959     
  0.34000000000000002        1.4035553477181264        1.6506503589872903     
  0.35999999999999999        1.2869024765809833        1.5777538358108065     
  0.38000000000000000        1.1696524564330502        1.4768390279293395     
  0.40000000000000002        1.0411411250458491        1.3399178608833993     
  0.41999999999999998       0.90415367731613006        1.1833575885094183     
  0.45000000000000001       0.70649513760711036       0.95739808081058209     
  0.50000000000000000       0.46771689551555334       0.68370696028442690     
  0.55000000000000004       0.33081521069225589       0.50404832878696926     
  0.59999999999999998       0.25030801171964856       0.37854827110142347     
  0.65000000000000002       0.19995186602926240       0.28710453268852493     
  0.69999999999999996       0.16766690196632961       0.21924472835100672     
  0.75000000000000000       0.14678040932555486       0.16961592349161192     
  0.80000000000000004       0.13340008579715315       0.13269240279217903     
  0.90000000000000002       0.12068502106911071        8.4583230194778494E-002
   1.0000000000000000       0.11565839262520633        5.6801370462748663E-002
   1.1000000000000001       0.11011017420586942        4.0057450682184456E-002
   1.2000000000000000       0.10046977517936884        2.9245824898302838E-002
   1.3000000000000000        8.7752669677113662E-002   2.1902761194077858E-002
   1.3999999999999999        7.4162759476889203E-002   1.6663108624025282E-002
   1.5000000000000000        6.1452595126431662E-002   1.2854245540587492E-002
   1.6000000000000001        5.0524417182210818E-002   1.0039965658128423E-002
   1.7000000000000000        4.1405335188089615E-002   7.9388851991480779E-003
   1.8000000000000000        3.3907933846408340E-002   6.3525099282947988E-003
   1.8999999999999999        2.8012506668730050E-002   5.1321988326669815E-003
   2.0000000000000000        2.2926063804510351E-002   4.1897955247338229E-003
   2.2000000000000002        1.4976793690759979E-002   2.8522945163583975E-003
   2.3999999999999999        9.8520296218789910E-003   1.9939536969030506E-003
   2.6000000000000001        7.6537373487262830E-003   1.4399732278827387E-003
   2.7999999999999998        6.3665494576941907E-003   1.0620443341140644E-003
   3.0000000000000000        5.6113758671627618E-003   7.9923662857276235E-004
   3.5000000000000000        4.1622406273363827E-003   4.1969480845741925E-004
