# wavelength(mic), abs_k(a=0.01mic), abs_k(a=0.1mic), abs_k(a=1mic)
3.9170e-03	1.4632e+04	1.0710e+04	2.1908e+03
3.9473e-03	1.4851e+04	1.0821e+04	2.1917e+03
3.9779e-03	1.5067e+04	1.0933e+04	2.1932e+03
4.0087e-03	1.5295e+04	1.1046e+04	2.1943e+03
4.0397e-03	1.5525e+04	1.1160e+04	2.1951e+03
4.0710e-03	1.5755e+04	1.1275e+04	2.1955e+03
4.1025e-03	1.5988e+04	1.1391e+04	2.1965e+03
4.1343e-03	1.6222e+04	1.1503e+04	2.1974e+03
4.1663e-03	1.6455e+04	1.1610e+04	2.1978e+03
4.1985e-03	1.6702e+04	1.1729e+04	2.1988e+03
4.2310e-03	1.6947e+04	1.1844e+04	2.2001e+03
4.2638e-03	1.7188e+04	1.1952e+04	2.2016e+03
4.2968e-03	1.7445e+04	1.2065e+04	2.2012e+03
4.3301e-03	1.7701e+04	1.2179e+04	2.2012e+03
4.3636e-03	1.7955e+04	1.2292e+04	2.2017e+03
4.3974e-03	1.8207e+04	1.2396e+04	2.2021e+03
4.4314e-03	1.8464e+04	1.2508e+04	2.2028e+03
4.4657e-03	1.8727e+04	1.2631e+04	2.2039e+03
4.5003e-03	1.8990e+04	1.2742e+04	2.2039e+03
4.5351e-03	1.9261e+04	1.2854e+04	2.2039e+03
4.5702e-03	1.9542e+04	1.2968e+04	2.2039e+03
4.6056e-03	1.9820e+04	1.3071e+04	2.2054e+03
4.6413e-03	2.0099e+04	1.3183e+04	2.2062e+03
4.6772e-03	2.0379e+04	1.3303e+04	2.2062e+03
4.7134e-03	2.0666e+04	1.3416e+04	2.2062e+03
4.7499e-03	2.0958e+04	1.3526e+04	2.2069e+03
4.7867e-03	2.1253e+04	1.3635e+04	2.2084e+03
4.8237e-03	2.1542e+04	1.3740e+04	2.2080e+03
4.8611e-03	2.1832e+04	1.3847e+04	2.2072e+03
4.8987e-03	2.2124e+04	1.3955e+04	2.2062e+03
4.9366e-03	2.2430e+04	1.4064e+04	2.2073e+03
4.9748e-03	2.2742e+04	1.4178e+04	2.2080e+03
5.0134e-03	2.3059e+04	1.4297e+04	2.2084e+03
5.0522e-03	2.3379e+04	1.4405e+04	2.2084e+03
5.0913e-03	2.3696e+04	1.4512e+04	2.2084e+03
5.1307e-03	2.4012e+04	1.4619e+04	2.2084e+03
5.1704e-03	2.4330e+04	1.4726e+04	2.2084e+03
5.2104e-03	2.4656e+04	1.4826e+04	2.2084e+03
5.2508e-03	2.4989e+04	1.4920e+04	2.2085e+03
5.2914e-03	2.5317e+04	1.5025e+04	2.2096e+03
5.3324e-03	2.5656e+04	1.5133e+04	2.2100e+03
5.3737e-03	2.6002e+04	1.5240e+04	2.2100e+03
5.4153e-03	2.6326e+04	1.5331e+04	2.2100e+03
5.4572e-03	2.6673e+04	1.5431e+04	2.2100e+03
5.4994e-03	2.7036e+04	1.5539e+04	2.2100e+03
5.5420e-03	2.7392e+04	1.5646e+04	2.2100e+03
5.5849e-03	2.7752e+04	1.5744e+04	2.2103e+03
5.6282e-03	2.8115e+04	1.5838e+04	2.2107e+03
5.6717e-03	2.8484e+04	1.5944e+04	2.2107e+03
5.7156e-03	2.8856e+04	1.6042e+04	2.2100e+03
5.7599e-03	2.9233e+04	1.6135e+04	2.2092e+03
5.8045e-03	2.9619e+04	1.6227e+04	2.2098e+03
5.8494e-03	3.0009e+04	1.6320e+04	2.2100e+03
5.8947e-03	3.0399e+04	1.6415e+04	2.2100e+03
5.9403e-03	3.0778e+04	1.6518e+04	2.2100e+03
5.9863e-03	3.1156e+04	1.6615e+04	2.2100e+03
6.0327e-03	3.1538e+04	1.6708e+04	2.2100e+03
6.0794e-03	3.1943e+04	1.6800e+04	2.2100e+03
6.1264e-03	3.2335e+04	1.6881e+04	2.2103e+03
6.1739e-03	3.2724e+04	1.6959e+04	2.2107e+03
6.2217e-03	3.3128e+04	1.7037e+04	2.2107e+03
6.2698e-03	3.3529e+04	1.7123e+04	2.2097e+03
6.3184e-03	3.3934e+04	1.7214e+04	2.2086e+03
6.3673e-03	3.4353e+04	1.7305e+04	2.2097e+03
6.4166e-03	3.4773e+04	1.7396e+04	2.2100e+03
6.4662e-03	3.5194e+04	1.7483e+04	2.2100e+03
6.5163e-03	3.5612e+04	1.7545e+04	2.2100e+03
6.5668e-03	3.6042e+04	1.7628e+04	2.2100e+03
6.6176e-03	3.6478e+04	1.7718e+04	2.2100e+03
6.6688e-03	3.6918e+04	1.7811e+04	2.2100e+03
6.7205e-03	3.7358e+04	1.7881e+04	2.2093e+03
6.7725e-03	3.7803e+04	1.7946e+04	2.2084e+03
6.8249e-03	3.8258e+04	1.8023e+04	2.2084e+03
6.8777e-03	3.8716e+04	1.8110e+04	2.2092e+03
6.9310e-03	3.9174e+04	1.8194e+04	2.2100e+03
6.9846e-03	3.9625e+04	1.8256e+04	2.2100e+03
7.0387e-03	4.0076e+04	1.8329e+04	2.2100e+03
7.0932e-03	4.0534e+04	1.8406e+04	2.2100e+03
7.1481e-03	4.1010e+04	1.8483e+04	2.2100e+03
7.2035e-03	4.1481e+04	1.8548e+04	2.2104e+03
7.2592e-03	4.1953e+04	1.8613e+04	2.2107e+03
7.3154e-03	4.2429e+04	1.8690e+04	2.2107e+03
7.3721e-03	4.1198e+04	1.8505e+04	2.2103e+03
7.4291e-03	4.0085e+04	1.8330e+04	2.2097e+03
7.4867e-03	4.0544e+04	1.8377e+04	2.2087e+03
7.5446e-03	4.1010e+04	1.8446e+04	2.2073e+03
7.6030e-03	4.1478e+04	1.8518e+04	2.2065e+03
7.6619e-03	4.1940e+04	1.8580e+04	2.2075e+03
